Sheet Name,Creator Name,Step / Category,Problem Title,Difficulty,LeetCode URL,YouTube Tutorial URL,Topic Tags
Striver's A2Z DSA Course Sheet,Striver (takeUforward),Step 1: Learn the Basics,User Input / Output & Data Types,Easy,https://leetcode.com/problems/add-two-integers/,https://youtu.be/0-d12m2t08U,Step 1.1: Things to Know in C++/Java/Python
Striver's A2Z DSA Course Sheet,Striver (takeUforward),Step 1: Learn the Basics,If Else Statements & Control Flow,Easy,https://leetcode.com/problems/fizz-buzz/,https://youtu.be/0-d12m2t08U,Step 1.1: Things to Know in C++/Java/Python
Striver's A2Z DSA Course Sheet,Striver (takeUforward),Step 1: Learn the Basics,Switch Statement & Conditional Branching,Easy,https://leetcode.com/problems/calculator-with-method-chaining/,https://youtu.be/0-d12m2t08U,Step 1.1: Things to Know in C++/Java/Python
Striver's A2Z DSA Course Sheet,Striver (takeUforward),Step 1: Learn the Basics,For Loops & While Loops,Easy,https://leetcode.com/problems/fibonacci-number/,https://youtu.be/0-d12m2t08U,Step 1.1: Things to Know in C++/Java/Python
Striver's A2Z DSA Course Sheet,Striver (takeUforward),Step 1: Learn the Basics,Functions (Pass by Reference & Value),Easy,https://leetcode.com/problems/swap-nodes-in-pairs/,https://youtu.be/0-d12m2t08U,Step 1.1: Things to Know in C++/Java/Python
Striver's A2Z DSA Course Sheet,Striver (takeUforward),Step 1: Learn the Basics,Time and Space Complexity Basics,Easy,https://leetcode.com/problems/running-sum-of-1d-array/,https://youtu.be/0-d12m2t08U,Step 1.1: Things to Know in C++/Java/Python
Striver's A2Z DSA Course Sheet,Striver (takeUforward),Step 1: Learn the Basics,Pattern 1: Square Star Pattern,Easy,https://leetcode.com/problems/rectangle-overlap/,https://youtu.be/0-d12m2t08U,Step 1.2: Build-up Logical Thinking (Patterns 1 to 22)
Striver's A2Z DSA Course Sheet,Striver (takeUforward),Step 1: Learn the Basics,Pattern 2: Right-Angled Triangle Pattern,Easy,https://leetcode.com/problems/rectangle-overlap/,https://youtu.be/0-d12m2t08U,Step 1.2: Build-up Logical Thinking (Patterns 1 to 22)
Striver's A2Z DSA Course Sheet,Striver (takeUforward),Step 1: Learn the Basics,Pattern 3: Right-Angled Number Triangle,Easy,https://leetcode.com/problems/rectangle-overlap/,https://youtu.be/0-d12m2t08U,Step 1.2: Build-up Logical Thinking (Patterns 1 to 22)
Striver's A2Z DSA Course Sheet,Striver (takeUforward),Step 1: Learn the Basics,Pattern 4: Right-Angled Number Triangle II,Easy,https://leetcode.com/problems/rectangle-overlap/,https://youtu.be/0-d12m2t08U,Step 1.2: Build-up Logical Thinking (Patterns 1 to 22)
